LONGITUDE,LATITUDE,res,faults,dem,mag,grav,geol,deposit
139.2334163,-31.8038975,2.1213,0.11164152721722212,238.7618408203125,637.8717651367188,-6.893702030181885,Crustal element Adelaide,1
138.5855124,-32.5787705,2.0376,0.005332912228037157,491.10125732421875,-162.4622344970703,-19.000486373901367,Crustal element Adelaide,1
138.6470184,-32.4911505,2.0519,0.014534738834215017,461.79888916015625,-129.98529052734375,-22.875185012817383,Crustal element Adelaide,1
138.4043964,-32.5021534,2.0819,0.06171786677798798,472.95697021484375,-229.97544860839844,-30.486961364746094,Crustal element Adelaide,1
140.9132471,-32.5136066,2.391,0.021737940202536322,212.622802734375,11.495144844055176,10.33371639251709,Crustal element Adelaide,1
138.7994834,-32.3411475,2.2052,0.17523139917168976,477.0199279785156,-63.535648345947266,-20.0401668548584,Crustal element Adelaide,1
138.4113584,-32.2292974,2.0023,0.00890179806641288,357.11578369140625,-197.39297485351562,-33.070770263671875,Crustal element Adelaide,1
138.7958474,-32.3457445,2.2052,0.1805061132641446,475.75439453125,-56.129859924316406,-18.774032592773438,Crustal element Adelaide,1
139.4499483,-32.1902195,2.1042,0.12821830257055714,311.2349853515625,-153.6349334716797,-17.37017059326172,Crustal element Adelaide,1
138.5663664,-32.5954135,2.0376,0.01902524091094513,473.6385498046875,-184.72482299804688,-20.28224754333496,Crustal element Adelaide,1
138.2249735,-32.1479414,2.2505,0.05145343120024046,213.6123046875,33.51932907104492,-40.937442779541016,Crustal element Adelaide,1
138.5654474,-32.6103515,2.0376,0.024026742475259124,477.603271484375,-183.83265686035156,-20.663667678833008,Crustal element Adelaide,1
138.0349135,-32.1554844,2.2515,0.03511543701899577,342.0728759765625,95.2273941040039,-32.71771240234375,Olympic Domain,1
138.4189734,-32.1924624,2.0023,0.028010320329520274,415.0448303222656,-178.3088836669922,-30.756319046020508,Crustal element Adelaide,1
138.4007774,-32.1967704,2.0023,0.034165693300861125,352.6904602050781,-175.66256713867188,-32.45918273925781,Crustal element Adelaide,1
138.6132564,-32.5335735,2.0376,0.005464828428906938,595.9871215820312,-144.63323974609375,-20.45621681213379,Crustal element Adelaide,1
138.4142874,-32.2721794,2.0469,0.02593319357036993,349.0344543457031,-219.22067260742188,-32.821388244628906,Crustal element Adelaide,1
138.4576124,-32.2740294,2.12,0.03259714258583553,358.3526611328125,-237.80859375,-31.048646926879883,Crustal element Adelaide,1
138.5557784,-32.4246725,2.0944,0.05103155519832223,473.1982421875,-197.6778106689453,-24.115346908569336,Crustal element Adelaide,1
